"epic","resolution","ts","open","high","low","close","volume"
"CC.D.CL.UNC.IP","MINUTE","1772682000","7339.700000000001","7343.55","7332.700000000001","7338.200000000001","455"
"CC.D.CL.UNC.IP","MINUTE","1772682060","7337","7341","7324.6","7331.6","432"
"CC.D.CL.UNC.IP","MINUTE","1772682120","7330.700000000001","7338.25","7330.450000000001","7334.5","476"
"CC.D.CL.UNC.IP","MINUTE","1772682180","7334.799999999999","7345.450000000001","7333.55","7341.6","352"
"CC.D.CL.UNC.IP","MINUTE","1772682240","7341.700000000001","7345.55","7330.5","7333.1","468"
"CC.D.CL.UNC.IP","MINUTE","1772682300","7333.6","7347.299999999999","7333.549999999999","7343.200000000001","476"
"CC.D.CL.UNC.IP","MINUTE","1772682360","7343.5","7356.4","7339.25","7349.299999999999","671"
"CC.D.CL.UNC.IP","MINUTE","1772682420","7349.1","7361.1","7347.299999999999","7348.6","532"
"CC.D.CL.UNC.IP","MINUTE","1772682480","7348.6","7350.75","7337.1","7340","381"
"CC.D.CL.UNC.IP","MINUTE","1772682540","7339","7345.4","7335.25","7340.6","269"
"CC.D.CL.UNC.IP","MINUTE","1772682600","7338.700000000001","7344.5","7335.35","7342.799999999999","319"
"CC.D.CL.UNC.IP","MINUTE","1772682660","7343.299999999999","7349.9","7341.25","7348.700000000001","336"
"CC.D.CL.UNC.IP","MINUTE","1772682720","7348.9","7358.1","7347.7","7355.4","452"
"CC.D.CL.UNC.IP","MINUTE","1772682780","7354.799999999999","7365.15","7353.7","7358.6","483"
"CC.D.CL.UNC.IP","MINUTE","1772682840","7359.9","7363.3","7351.9","7353.5","372"
"CC.D.CL.UNC.IP","MINUTE","1772682900","7351.700000000001","7358.299999999999","7350.200000000001","7355.5","254"
"CC.D.CL.UNC.IP","MINUTE","1772682960","7355.200000000001","7359.95","7351","7356.4","249"
"CC.D.CL.UNC.IP","MINUTE","1772683020","7357.299999999999","7360.9","7354.6","7357.200000000001","270"
"CC.D.CL.UNC.IP","MINUTE","1772683080","7357","7363.35","7356.200000000001","7361.9","196"
"CC.D.CL.UNC.IP","MINUTE","1772683140","7361.700000000001","7369.200000000001","7360.9","7367.700000000001","475"
"CC.D.CL.UNC.IP","MINUTE","1772683200","7368.200000000001","7371.9","7357.9","7370.200000000001","865"
"CC.D.CL.UNC.IP","MINUTE","1772683260","7370.4","7372.9","7364.6","7371.6","804"
"CC.D.CL.UNC.IP","MINUTE","1772683320","7371.9","7377.049999999999","7366.45","7371.6","600"
"CC.D.CL.UNC.IP","MINUTE","1772683380","7372.6","7374.5","7366.200000000001","7371","450"
"CC.D.CL.UNC.IP","MINUTE","1772683440","7371.5","7375","7368.950000000001","7372","364"
"CC.D.CL.UNC.IP","MINUTE","1772683500","7370.200000000001","7387.299999999999","7369.9","7387.299999999999","1101"
"CC.D.CL.UNC.IP","MINUTE","1772683560","7388.1","7401.6","7387.5","7395.799999999999","773"
"CC.D.CL.UNC.IP","MINUTE","1772683620","7396.9","7408.700000000001","7395.65","7401.6","751"
"CC.D.CL.UNC.IP","MINUTE","1772683680","7401.6","7405.45","7397.549999999999","7404.6","675"
"CC.D.CL.UNC.IP","MINUTE","1772683740","7404.799999999999","7405.799999999999","7391.200000000001","7396.5","615"
"CC.D.CL.UNC.IP","MINUTE","1772683800","7396.700000000001","7400.2","7390.700000000001","7396.6","455"
"CC.D.CL.UNC.IP","MINUTE","1772683860","7396.799999999999","7405.5","7395.85","7399.5","267"
"CC.D.CL.UNC.IP","MINUTE","1772683920","7398.9","7407.4","7398.65","7401.6","267"
"CC.D.CL.UNC.IP","MINUTE","1772683980","7401.299999999999","7407","7396.6","7397.6","369"
"CC.D.CL.UNC.IP","MINUTE","1772684040","7398.1","7403.049999999999","7394.5","7400.299999999999","394"
"CC.D.CL.UNC.IP","MINUTE","1772684100","7399.299999999999","7406.35","7398.700000000001","7402.4","413"
"CC.D.CL.UNC.IP","MINUTE","1772684160","7402.200000000001","7413.15","7401.8","7409.9","346"
"CC.D.CL.UNC.IP","MINUTE","1772684220","7410.9","7416","7407.700000000001","7407.9","455"
"CC.D.CL.UNC.IP","MINUTE","1772684280","7407.5","7409.5","7401.9","7406.799999999999","406"
